rental_id,rental_date,date_1,time_1,category
10895,"2005-08-02 01:16:59",2005-08-02,01:16,Action
12268,"2005-08-18 04:26:54",2005-08-18,04:26,Action
3150,"2005-06-20 20:35:28",2005-06-20,20:35,Action
5072,"2005-07-09 05:01:58",2005-07-09,05:01,Action
9080,"2005-07-30 08:02:39",2005-07-30,08:02,Action
14603,"2005-08-21 17:51:06",2005-08-21,17:51,Action
588,"2005-05-28 12:08:37",2005-05-28,12:08,Action
2867,"2005-06-20 00:08:38",2005-06-20,00:08,Action
6030,"2005-07-11 02:37:51",2005-07-11,02:37,Action
7788,"2005-07-28 07:21:55",2005-07-28,07:21,Action
14310,"2005-08-21 07:44:32",2005-08-21,07:44,Action
10509,"2005-08-01 11:25:28",2005-08-01,11:25,Action
14349,"2005-08-21 08:54:53",2005-08-21,08:54,Action
1735,"2005-06-16 15:51:52",2005-06-16,15:51,Action
3474,"2005-07-05 22:59:53",2005-07-05,22:59,Action
9259,"2005-07-30 14:37:44",2005-07-30,14:37,Action
12786,"2006-02-14 15:16:03",2006-02-14,15:16,Action
2649,"2005-06-19 10:20:09",2005-06-19,10:20,Action
6651,"2005-07-12 10:57:28",2005-07-12,10:57,Action
8631,"2005-07-29 14:08:06",2005-07-29,14:08,Action
11727,"2005-08-17 08:12:20",2005-08-17,08:12,Action
207,"2005-05-26 08:04:38",2005-05-26,08:04,Action
1454,"2005-06-15 19:49:41",2005-06-15,19:49,Action
4115,"2005-07-07 06:52:23",2005-07-07,06:52,Action
10757,"2005-08-01 20:22:44",2005-08-01,20:22,Action
14908,"2005-08-22 04:44:10",2005-08-22,04:44,Action
135,"2005-05-25 21:58:58",2005-05-25,21:58,Action
2803,"2005-06-19 19:18:27",2005-06-19,19:18,Action
6793,"2005-07-12 16:37:55",2005-07-12,16:37,Action
9374,"2005-07-30 19:10:03",2005-07-30,19:10,Action
15643,"2005-08-23 08:13:26",2005-08-23,08:13,Action
4050,"2005-07-07 03:35:33",2005-07-07,03:35,Action
10871,"2005-08-02 00:27:24",2005-08-02,00:27,Action
12667,"2005-08-18 19:11:45",2005-08-18,19:11,Action
1940,"2005-06-17 07:42:22",2005-06-17,07:42,Action
6153,"2005-07-11 09:31:04",2005-07-11,09:31,Action
11257,"2005-08-02 13:45:05",2005-08-02,13:45,Action
12755,"2005-08-18 22:38:47",2005-08-18,22:38,Action
3732,"2005-07-06 11:33:37",2005-07-06,11:33,Action
9050,"2005-07-30 06:59:55",2005-07-30,06:59,Action
13428,"2006-02-14 15:16:03",2006-02-14,15:16,Action
7338,"2005-07-27 14:13:34",2005-07-27,14:13,Action
12917,"2005-08-19 04:27:11",2005-08-19,04:27,Action
1123,"2005-05-31 16:48:43",2005-05-31,16:48,Action
1189,"2005-06-15 01:04:22",2005-06-15,01:04,Action
5785,"2005-07-10 14:06:03",2005-07-10,14:06,Action
9706,"2005-07-31 07:43:19",2005-07-31,07:43,Action
13994,"2005-08-20 19:33:21",2005-08-20,19:33,Action
1134,"2005-05-31 19:14:15",2005-05-31,19:14,Action
2838,"2005-06-19 22:06:06",2005-06-19,22:06,Action
3881,"2005-07-06 18:35:37",2005-07-06,18:35,Action
7128,"2005-07-27 06:14:36",2005-07-27,06:14,Action
14123,"2005-08-21 01:31:25",2005-08-21,01:31,Action
3309,"2005-06-21 08:00:49",2005-06-21,08:00,Action
4710,"2005-07-08 12:04:53",2005-07-08,12:04,Action
10089,"2005-07-31 20:17:09",2005-07-31,20:17,Action
15689,"2005-08-23 09:52:55",2005-08-23,09:52,Action
300,"2005-05-26 20:57:00",2005-05-26,20:57,Action
2189,"2005-06-18 01:20:26",2005-06-18,01:20,Action
4982,"2005-07-09 00:30:52",2005-07-09,00:30,Action
9752,"2005-07-31 09:22:02",2005-07-31,09:22,Action
15022,"2005-08-22 08:55:43",2005-08-22,08:55,Action
7272,"2005-07-27 11:30:20",2005-07-27,11:30,Action
11666,"2005-08-17 05:45:10",2005-08-17,05:45,Action
1340,"2005-06-15 12:24:15",2005-06-15,12:24,Action
5426,"2005-07-09 21:04:47",2005-07-09,21:04,Action
11379,"2005-08-02 18:16:55",2005-08-02,18:16,Action
15964,"2005-08-23 19:45:25",2005-08-23,19:45,Action
5839,"2005-07-10 17:08:30",2005-07-10,17:08,Action
9858,"2005-07-31 13:02:07",2005-07-31,13:02,Action
13910,"2005-08-20 16:30:49",2005-08-20,16:30,Action
3946,"2005-07-06 21:39:24",2005-07-06,21:39,Action
8022,"2005-07-28 15:48:56",2005-07-28,15:48,Action
11743,"2005-08-17 08:49:05",2005-08-17,08:49,Action
6015,"2005-07-11 02:04:12",2005-07-11,02:04,Action
10050,"2005-07-31 19:13:29",2005-07-31,19:13,Action
11993,"2005-08-17 18:27:49",2005-08-17,18:27,Action
1527,"2005-06-16 00:31:40",2005-06-16,00:31,Action
6003,"2005-07-11 01:28:33",2005-07-11,01:28,Action
8802,"2005-07-29 21:25:51",2005-07-29,21:25,Action
12182,"2005-08-18 01:30:19",2005-08-18,01:30,Action
6097,"2005-07-11 06:21:43",2005-07-11,06:21,Action
10488,"2005-08-01 10:27:27",2005-08-01,10:27,Action
11744,"2005-08-17 08:54:30",2005-08-17,08:54,Action
4914,"2005-07-08 21:30:53",2005-07-08,21:30,Action
7574,"2005-07-27 22:53:00",2005-07-27,22:53,Action
12064,"2006-02-14 15:16:03",2006-02-14,15:16,Action
835,"2005-05-29 23:37:00",2005-05-29,23:37,Action
3330,"2005-06-21 09:22:37",2005-06-21,09:22,Action
6696,"2005-07-12 12:44:04",2005-07-12,12:44,Action
7436,"2005-07-27 17:39:12",2005-07-27,17:39,Action
13609,"2005-08-20 06:11:51",2005-08-20,06:11,Action
5422,"2005-07-09 20:55:47",2005-07-09,20:55,Action
9887,"2005-07-31 14:00:32",2005-07-31,14:00,Action
11497,"2005-08-16 22:52:30",2005-08-16,22:52,Action
8131,"2005-07-28 19:55:21",2005-07-28,19:55,Action
14156,"2005-08-21 02:35:16",2005-08-21,02:35,Action
4406,"2005-07-07 21:35:16",2005-07-07,21:35,Action
10037,"2005-07-31 18:48:08",2005-07-31,18:48,Action
15994,"2005-08-23 20:29:10",2005-08-23,20:29,Action
4105,"2005-07-07 06:31:00",2005-07-07,06:31,Action
7941,"2005-07-28 12:47:20",2005-07-28,12:47,Action
11733,"2005-08-17 08:31:03",2005-08-17,08:31,Action
5695,"2005-07-10 09:43:40",2005-07-10,09:43,Action
8878,"2005-07-30 00:15:57",2005-07-30,00:15,Action
14031,"2005-08-20 21:24:24",2005-08-20,21:24,Action
800,"2005-05-29 17:28:12",2005-05-29,17:28,Action
2524,"2005-06-19 00:48:11",2005-06-19,00:48,Action
6320,"2005-07-11 18:50:55",2005-07-11,18:50,Action
8882,"2005-07-30 00:24:05",2005-07-30,00:24,Action
14784,"2005-08-22 00:23:13",2005-08-22,00:23,Action
4613,"2005-07-08 07:44:49",2005-07-08,07:44,Action
10266,"2005-08-01 03:05:59",2005-08-01,03:05,Action
14605,"2005-08-21 17:56:06",2005-08-21,17:56,Action
11388,"2005-08-02 18:35:55",2005-08-02,18:35,Action
14657,"2005-08-21 19:39:43",2005-08-21,19:39,Action
2986,"2005-06-20 08:50:28",2005-06-20,08:50,Action
5251,"2005-07-09 13:36:10",2005-07-09,13:36,Action
10966,"2005-08-02 04:00:47",2005-08-02,04:00,Action
11646,"2006-02-14 15:16:03",2006-02-14,15:16,Action
6114,"2005-07-11 07:33:48",2005-07-11,07:33,Action
8366,"2005-07-29 05:11:14",2005-07-29,05:11,Action
11637,"2005-08-17 04:36:39",2005-08-17,04:36,Action
1965,"2005-06-17 09:17:39",2005-06-17,09:17,Action
6256,"2005-07-11 15:19:22",2005-07-11,15:19,Action
9059,"2005-07-30 07:18:44",2005-07-30,07:18,Action
11548,"2005-08-17 00:59:47",2005-08-17,00:59,Action
1057,"2005-05-31 07:58:06",2005-05-31,07:58,Action
1794,"2005-06-16 20:08:37",2005-06-16,20:08,Action
5856,"2005-07-10 17:57:32",2005-07-10,17:57,Action
7165,"2005-07-27 07:36:46",2005-07-27,07:36,Action
15797,"2005-08-23 14:13:47",2005-08-23,14:13,Action
6426,"2005-07-11 23:56:38",2005-07-11,23:56,Action
10286,"2005-08-01 03:35:58",2005-08-01,03:35,Action
11976,"2005-08-17 17:59:19",2005-08-17,17:59,Action
4386,"2005-07-07 20:55:19",2005-07-07,20:55,Action
9820,"2005-07-31 11:46:57",2005-07-31,11:46,Action
11622,"2005-08-17 04:15:46",2005-08-17,04:15,Action
700,"2005-05-29 02:18:54",2005-05-29,02:18,Action
1832,"2005-06-16 22:35:20",2005-06-16,22:35,Action
4036,"2005-07-07 02:48:00",2005-07-07,02:48,Action
9191,"2005-07-30 12:25:51",2005-07-30,12:25,Action
15803,"2005-08-23 14:27:07",2005-08-23,14:27,Action
11386,"2005-08-02 18:24:03",2005-08-02,18:24,Action
11725,"2005-08-17 08:09:00",2005-08-17,08:09,Action
8577,"2005-07-29 11:56:30",2005-07-29,11:56,Action
13095,"2005-08-19 10:48:10",2005-08-19,10:48,Action
11316,"2005-08-02 16:07:49",2005-08-02,16:07,Action
15306,"2005-08-22 19:46:36",2005-08-22,19:46,Action
1073,"2005-05-31 09:55:04",2005-05-31,09:55,Action
2981,"2005-06-20 08:35:17",2005-06-20,08:35,Action
6379,"2005-07-11 21:51:25",2005-07-11,21:51,Action
10381,"2005-08-01 06:36:37",2005-08-01,06:36,Action
12177,"2005-08-18 01:15:47",2005-08-18,01:15,Action
1432,"2005-06-15 18:27:24",2005-06-15,18:27,Action
6717,"2005-07-12 13:35:02",2005-07-12,13:35,Action
10324,"2005-08-01 04:49:06",2005-08-01,04:49,Action
13193,"2005-08-19 14:33:45",2005-08-19,14:33,Action
10084,"2005-07-31 20:11:29",2005-07-31,20:11,Action
15269,"2005-08-22 18:39:44",2005-08-22,18:39,Action
10027,"2005-07-31 18:33:51",2005-07-31,18:33,Action
14033,"2005-08-20 21:30:53",2005-08-20,21:30,Action
9387,"2005-07-30 19:27:05",2005-07-30,19:27,Action
13782,"2005-08-20 12:09:26",2005-08-20,12:09,Action
860,"2005-05-30 02:45:16",2005-05-30,02:45,Action
3352,"2005-06-21 11:26:29",2005-06-21,11:26,Action
3738,"2005-07-06 11:50:57",2005-07-06,11:50,Action
9414,"2005-07-30 20:46:02",2005-07-30,20:46,Action
13260,"2005-08-19 17:09:22",2005-08-19,17:09,Action
7503,"2005-07-27 20:23:12",2005-07-27,20:23,Action
14512,"2005-08-21 14:47:09",2005-08-21,14:47,Action
3596,"2005-07-06 05:03:11",2005-07-06,05:03,Action
9099,"2005-07-30 08:45:48",2005-07-30,08:45,Action
13626,"2005-08-20 06:55:24",2005-08-20,06:55,Action
595,"2005-05-28 13:59:54",2005-05-28,13:59,Action
1562,"2005-06-16 02:46:27",2005-06-16,02:46,Action
6055,"2005-07-11 03:59:08",2005-07-11,03:59,Action
9211,"2005-07-30 12:59:45",2005-07-30,12:59,Action
13759,"2005-08-20 11:24:48",2005-08-20,11:24,Action
3402,"2005-06-21 15:54:37",2005-06-21,15:54,Action
4691,"2005-07-08 11:04:53",2005-07-08,11:04,Action
10808,"2005-08-01 22:37:11",2005-08-01,22:37,Action
11742,"2005-08-17 08:48:43",2005-08-17,08:48,Action
459,"2005-05-27 20:00:04",2005-05-27,20:00,Action
2320,"2005-06-18 09:24:50",2005-06-18,09:24,Action
4143,"2005-07-07 08:22:07",2005-07-07,08:22,Action
9480,"2005-07-30 23:26:03",2005-07-30,23:26,Action
13530,"2005-08-20 03:12:43",2005-08-20,03:12,Action
10894,"2005-08-02 01:12:35",2005-08-02,01:12,Action
15817,"2005-08-23 14:59:51",2005-08-23,14:59,Action
598,"2005-05-28 14:04:50",2005-05-28,14:04,Action
2458,"2005-06-18 19:39:05",2005-06-18,19:39,Action
3565,"2005-07-06 03:02:58",2005-07-06,03:02,Action
8539,"2005-07-29 10:48:24",2005-07-29,10:48,Action
13563,"2005-08-20 04:33:31",2005-08-20,04:33,Action
